t build_seconds sweep_seconds
296 5.4589999999999997e-06 5.7500000000000002e-05
297 5.4589999999999997e-06 5.6084e-05
298 5.2499999999999997e-06 5.2791999999999999e-05
299 5.1250000000000001e-06 5.0207999999999998e-05
300 5.2499999999999997e-06 5.1084000000000001e-05
301 5.2499999999999997e-06 5.3124999999999997e-05
302 5.2499999999999997e-06 5.4709000000000001e-05
303 5.1250000000000001e-06 5.1958e-05
304 5.2079999999999999e-06 5.6166999999999999e-05
305 4.9579999999999998e-06 5.7042e-05
306 5.1669999999999998e-06 5.7791000000000003e-05
307 5.4160000000000003e-06 5.3916999999999999e-05
308 5.417e-06 5.8832999999999997e-05
309 5.541e-06 5.7500000000000002e-05
310 5.4999999999999999e-06 5.5999999999999999e-05
311 5.4580000000000001e-06 5.7958000000000003e-05
312 5.4999999999999999e-06 5.8625000000000002e-05
313 5.417e-06 5.7166000000000001e-05
314 5.2089999999999996e-06 4.8665999999999998e-05
315 5.2909999999999998e-06 5.3875000000000002e-05
316 5.2079999999999999e-06 5.1332999999999998e-05
317 5.5419999999999996e-06 5.4750000000000003e-05
318 5.4999999999999999e-06 5.4542000000000001e-05
319 5.5829999999999997e-06 5.8167000000000001e-05
320 5.75e-06 5.9791999999999999e-05
321 5.4589999999999997e-06 5.6666000000000003e-05
322 5.417e-06 5.6792000000000001e-05
323 5.3329999999999996e-06 5.1958e-05
324 5.417e-06 5.2500000000000002e-05
325 5.6670000000000001e-06 5.9042000000000002e-05
326 5.5419999999999996e-06 5.3708000000000001e-05
327 5.9580000000000004e-06 5.6582999999999997e-05
328 6.0000000000000002e-06 6.9957999999999997e-05
329 5.6250000000000004e-06 5.7624999999999998e-05
330 5.7919999999999998e-06 5.3958000000000001e-05
331 5.4580000000000001e-06 5.4209000000000002e-05
332 5.417e-06 6.0124999999999998e-05
333 5.2909999999999998e-06 5.5167000000000002e-05
334 5.2079999999999999e-06 5.5958000000000002e-05
335 5.2499999999999997e-06 5.5000000000000002e-05
336 5.3750000000000002e-06 5.6792000000000001e-05
337 5.1250000000000001e-06 4.8958000000000001e-05
338 5.1250000000000001e-06 5.1458000000000001e-05
339 5.2920000000000003e-06 6.0083000000000001e-05
340 5.2909999999999998e-06 5.5374999999999998e-05
341 5.3329999999999996e-06 5.6499999999999998e-05
342 5.2499999999999997e-06 5.5915999999999998e-05
343 5.1669999999999998e-06 5.4292000000000001e-05
344 5.2079999999999999e-06 5.7583000000000001e-05
345 5.4160000000000003e-06 5.9042000000000002e-05
346 6.3330000000000002e-06 6.8499999999999998e-05
347 5.6250000000000004e-06 5.6790999999999999e-05
348 5.5500000000000001e-05 0.000147792
