t build_seconds sweep_seconds
534 4.5000000000000001e-06 6.0000000000000002e-05
535 4.792e-06 4.8708000000000002e-05
536 4.5000000000000001e-06 4.7333999999999998e-05
537 4.459e-06 4.5374999999999998e-05
538 4.4170000000000002e-06 4.5750000000000001e-05
539 4.2919999999999997e-06 4.4957999999999999e-05
540 4.3340000000000003e-06 4.4790999999999999e-05
541 4.25e-06 4.2792e-05
542 5.2920000000000003e-06 3.9875e-05
543 4.9579999999999998e-06 4.9292000000000002e-05
544 4.3749999999999996e-06 3.9833999999999998e-05
545 4.459e-06 4.4041000000000001e-05
546 4.5419999999999999e-06 4.7667000000000003e-05
547 4.583e-06 4.5124999999999999e-05
548 4.459e-06 4.1415999999999998e-05
549 3.9999999999999998e-06 3.9916999999999997e-05
550 4.3749999999999996e-06 4.5750000000000001e-05
551 4.2910000000000001e-06 4.3291999999999998e-05
552 4.25e-06 4.2957999999999998e-05
553 5.4589999999999997e-06 4.7375e-05
554 4.6249999999999998e-06 4.5124999999999999e-05
555 4.459e-06 4.3040999999999997e-05
556 4.25e-06 3.6999999999999998e-05
557 4.3340000000000003e-06 4.2959e-05
558 4.0829999999999997e-06 3.7209000000000002e-05
559 4.1250000000000003e-06 4.3041999999999999e-05
560 4.2089999999999999e-06 4.0708999999999999e-05
561 4.3340000000000003e-06 4.1458000000000002e-05
562 4.1250000000000003e-06 4.2208e-05
563 4.1670000000000001e-06 4.4416999999999998e-05
564 4.25e-06 4.1708000000000001e-05
565 4.2080000000000002e-06 4.1749999999999998e-05
566 4.3329999999999998e-06 4.2583000000000002e-05
567 4.3340000000000003e-06 4.3625000000000003e-05
568 4.25e-06 3.9542000000000002e-05
569 4.3329999999999998e-06 4.3625000000000003e-05
570 4.25e-06 4.3875000000000003e-05
571 4.2919999999999997e-06 4.5000000000000003e-05
572 4.3749999999999996e-06 4.4542000000000001e-05
573 4.25e-06 4.0083000000000002e-05
574 4.2910000000000001e-06 4.2833999999999997e-05
575 4.2080000000000002e-06 4.3999999999999999e-05
576 4.1670000000000001e-06 4.1167000000000001e-05
577 4.1250000000000003e-06 3.8917e-05
578 4.3329999999999998e-06 3.8083000000000001e-05
579 4.1250000000000003e-06 3.8958999999999997e-05
580 4.25e-06 4.0166999999999997e-05
581 4.3749999999999996e-06 4.3291999999999998e-05
582 4.25e-06 4.5083000000000002e-05
583 4.1670000000000001e-06 3.9375000000000002e-05
584 4.0419999999999996e-06 4.1499999999999999e-05
585 3.9160000000000003e-06 4.1417e-05
586 4.1670000000000001e-06 4.4208000000000001e-05
587 4.3329999999999998e-06 4.2083999999999999e-05
588 4.2910000000000001e-06 4.4959000000000001e-05
589 4.3329999999999998e-06 4.5667000000000002e-05
590 4.25e-06 4.3875000000000003e-05
591 4.25e-06 4.4333999999999999e-05
592 4.0419999999999996e-06 4.1165999999999999e-05
593 5.5419999999999996e-06 4.3291000000000003e-05
594 4.3329999999999998e-06 4.5958000000000003e-05
595 4.2919999999999997e-06 4.0541999999999999e-05
596 4.2919999999999997e-06 4.4375000000000001e-05
597 4.3329999999999998e-06 4.4249999999999998e-05
598 4.3329999999999998e-06 4.2125000000000001e-05
599 4.25e-06 4.2957999999999998e-05
600 4.3329999999999998e-06 4.3124999999999998e-05
601 4.2910000000000001e-06 4.1084000000000002e-05
602 4.2080000000000002e-06 3.6999999999999998e-05
603 4.2080000000000002e-06 4.1959000000000003e-05
604 4.3329999999999998e-06 4.5167000000000003e-05
605 4.2919999999999997e-06 4.6791e-05
606 4.2919999999999997e-06 4.2292000000000001e-05
607 4.25e-06 4.2459000000000001e-05
608 4.2080000000000002e-06 4.0042e-05
609 4.1659999999999996e-06 3.9416999999999999e-05
610 4.2919999999999997e-06 4.1749999999999998e-05
611 4.25e-06 3.4167e-05
612 4.0840000000000002e-06 3.7792e-05
613 4.25e-06 4.2750000000000002e-05
614 4.3749999999999996e-06 4.3417000000000001e-05
615 4.1250000000000003e-06 3.7540999999999999e-05
616 4.0419999999999996e-06 4.0207999999999999e-05
617 4.1250000000000003e-06 4.3875000000000003e-05
618 4.1670000000000001e-06 4.1041999999999998e-05
619 4.2080000000000002e-06 4.3708999999999998e-05
620 4.1659999999999996e-06 4.2042000000000002e-05
621 4.4170000000000002e-06 4.2249999999999997e-05
